census_track_number,population_16_and_over_with_earnings,population_margin_of_error,total_median_earnings,median_earnings_margin_of_error,total_full_time_year_round_workers,full-time-margin-of-error,total_workers_less_than_10k,less_than_10k_margin_of_error,total_workers_less_than_15k,less_than_15k_margin_of_error,total_workers_less_than_25k,less_than_25k_margin_of_error,total_workers_less_than_35k,less_than_35k_margin_of_error,total_workers_less_than_50k,less_than_50k_margin_of_error,total_workers_less_than_65k,less_than_65k_margin_of_error,total_workers_less_than_75k,less_than_75k_margin_of_error,total_workers_less_than_100k,less_than_100k_margin_of_error,total_workers_more_than_100k,more_than_100k_margin_of_error,total_mean_earnings,mean_earnings_margin_of_error
1085.24,1710,171,47143,7835,1311,179,1.2,2.1,1.6,2,1.3,1.7,15,9.1,21.9,7.1,17.3,5.1,5.3,3.9,15.5,7,20.9,7.2,87199,24415
1085.25,1340,134,36528,3687,1008,120,1.9,1.9,2,2,12.1,5.5,16.5,7.2,34.1,7.3,18.5,6.9,5.1,2.9,6.3,4.2,3.7,2.6,45236,3584
1085.26,3081,275,27755,4996,2161,226,3.5,2.8,2.2,2.3,20.9,5.7,16.4,4.3,21.7,6,21.7,5.6,2.7,1.8,7.4,4.9,3.7,3,42540,4420
1085.27,3095,269,32542,3714,2252,267,1.4,1.6,2.2,2.1,19.2,7.4,18.2,6.1,15.7,5.7,19.8,6.7,4.4,2.8,8.7,5.1,10.4,4.9,56296,9296
1085.28,1220,107,44357,8015,856,110,3.7,4.3,2.9,2.5,10,5.4,8.8,4.8,14.5,5.9,25.7,8.3,7.5,4,6.2,3.3,20.7,8.5,72296,11610
1085.29,1705,164,50672,6872,1148,139,0.8,1.4,0,1.7,3.5,2.7,10.9,4.7,16.1,5.3,14.6,5.1,9.3,6.8,8.9,4.6,35.9,8.7,94615,15475
1085.3,2776,347,33707,5451,1908,286,2.2,2.6,4.2,2.8,15,4.7,13.1,4.3,18.9,5,13.5,5,14.1,7.3,12.6,4.4,6.4,4.3,50410,5205
1086.01,1321,171,36549,4323,997,155,1.1,1.4,5.7,4,9.1,4.7,18.8,6.9,22.3,5.7,19,6.7,7.7,3.1,10.8,5.1,5.5,3.5,50838,6438
1086.02,464,108,35285,9945,283,73,2.8,4.6,8.8,8.3,17,11.4,11.7,11.5,44.2,20.6,8.1,6.5,1.8,2.9,0,6.8,5.7,8.5,39081,8232
1086.03,1636,166,34464,5183,1083,158,0,1.8,1.7,1.5,10.5,4.9,24.7,9,18.4,6.9,17.4,5.8,10.1,4.8,9.5,4.6,7.8,4,55138,6542
1087.01,1251,110,40762,3106,763,82,1.4,1.5,2,1.9,8.4,5.5,7.5,3,19,5.5,12.1,3.8,9.7,3.6,15.9,5.4,24.1,8,71413,6429
1087.03,3234,294,40106,5572,2203,196,0,0.9,0.6,1.1,11.9,4.6,8.4,3.6,22.4,6.1,18.7,4.9,8.1,3.8,18,5.9,11.8,4.5,61642,5669
1087.04,2733,199,42197,3743,1945,155,1.5,1.5,0.9,1.1,12.3,3.8,10.3,3.8,19.2,4.3,20.8,5.1,9.4,3,12,4,13.5,3.6,59477,3584
